Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2010-11","Rajasthan","8","Rajsamand","112","Whole Year ","401","Sugarcane","Sugar","183.0","Hectare","12479.0","Tonnes","68.19","Tonnes/Hectare"
" 2013-14","Maharashtra","27","Akola","467","Kharif     ","204","Moong(Green Gram)","Pulses","47000.0","Hectare","8300.0","Tonnes","0.18","Tonnes/Hectare"
" 2016-17","Odisha","21","Ganjam","354","Autumn     ","204","Moong(Green Gram)","Pulses","3.0","Hectare","6.2","Tonnes","2.07","Tonnes/Hectare"
" 2007-08","Uttar Pradesh","9","Mathura","167","Rabi       ","106","Wheat","Cereals","172287.0","Hectare","628848.0","Tonnes","3.65","Tonnes/Hectare"
" 2006-07","Maharashtra","27","Parbhani","489","Rabi       ","1007","Sunflower","Oilseeds","12700.0","Hectare","7100.0","Tonnes","0.56","Tonnes/Hectare"
" 2011-12","Karnataka","29","Shivamogga","547","Kharif     ","502","Dry Chillies","Spices","184.0","Hectare","149.0","Tonnes","0.81","Tonnes/Hectare"
" 1999-00","Uttar Pradesh","9","Fatehpur","142","Whole Year ","708","Onion","Vegetable","872.0","Hectare","12500.0","Tonnes","14.33","Tonnes/Hectare"
" 2002-03","Uttar Pradesh","9","Pratapgarh","174","Rabi       ","105","Ragi","Cereals","3.0","Hectare","4.0","Tonnes","1.33","Tonnes/Hectare"
" 2018-19","Odisha","21","Nuapada","368","Autumn     ","105","Ragi","Cereals","203.0","Hectare","91.1","Tonnes","0.45","Tonnes/Hectare"
" 2013-14","West Bengal","19","Purulia","321","Whole Year ","1006","Coconut","Oilseeds","64.0","Hectare","711000.0","Tonnes","11109.38","Tonnes/Hectare"
" 2001-02","Odisha","21","Kalahandi","358","Kharif     ","108","Small Millets","Cereals","620.0","Hectare","280.0","Tonnes","0.45","Tonnes/Hectare"
" 2017-18","Odisha","21","Jharsuguda","357","Winter     ","1003","Sesamum","Oilseeds","449.0","Hectare","158.5","Tonnes","0.35","Tonnes/Hectare"
" 2001-02","Tamil Nadu","33","Villupuram","596","Kharif     ","1003","Sesamum","Oilseeds","7040.0","Hectare","3310.0","Tonnes","0.47","Tonnes/Hectare"
" 2007-08","Uttar Pradesh","9","Etah","138","Rabi       ","288","Other  Rabi Pulses","Pulses","284.0","Hectare","266.0","Tonnes","0.94","Tonnes/Hectare"
" 2004-05","Uttar Pradesh","9","Bulandshahr","134","Whole Year ","1401","Guar Seed","Fodder","110.0","Hectare","93.0","Tonnes","0.85","Tonnes/Hectare"
" 2012-13","Madhya Pradesh","23","Katni","413","Kharif     ","204","Moong(Green Gram)","Pulses","249.0","Hectare","49.0","Tonnes","0.2","Tonnes/Hectare"
" 2016-17","Tamil Nadu","33","Tuticorin","594","Whole Year ","502","Dry Chillies","Spices","11615.0","Hectare","2049.0","Tonnes","0.18","Tonnes/Hectare"
" 2010-11","Nagaland","13","Kohima","245","Kharif     ","1003","Sesamum","Oilseeds","370.0","Hectare","240.0","Tonnes","0.65","Tonnes/Hectare"
" 2019-20","Uttar Pradesh","9","Moradabad","171","Rabi       ","205","Masoor","Pulses","527.0","Hectare","580.0","Tonnes","1.1","Tonnes/Hectare"
" 2003-04","Bihar","10","Sitamarhi","221","Kharif     ","1003","Sesamum","Oilseeds","3.0","Hectare","2.0","Tonnes","0.67","Tonnes/Hectare"
" 1998-99","Mizoram","15","Lunglei","265","Kharif     ","1101","Cotton(Lint)","Fiber Crops","145.0","Hectare","88.0","Tonnes","0.61","Tonnes/Hectare"
" 2015-16","Assam","18","Kamrup","291","Rabi       ","507","Arecanut","Spices","3880.0","Hectare","4529.0","Tonnes","1.17","Tonnes/Hectare"
" 1999-00","Tamil Nadu","33","Coimbatore","569","Kharif     ","206","Horse-Gram","Pulses","7884.0","Hectare","2985.0","Tonnes","0.38","Tonnes/Hectare"
" 2008-09","Jammu And Kashmir","1","Doda","4","Rabi       ","203","Urad","Pulses","11.0","Hectare","4.8","Tonnes","0.44","Tonnes/Hectare"
" 2015-16","Chhattisgarh","22","Narayanpur","637","Kharif     ","104","Maize","Cereals","1065.0","Hectare","1617.0","Tonnes","1.52","Tonnes/Hectare"
" 2012-13","West Bengal","19","South 24 Parganas","304","Summer     ","204","Moong(Green Gram)","Pulses","13756.0","Hectare","8432.0","Tonnes","0.61","Tonnes/Hectare"
" 2004-05","Andhra Pradesh","28","Kadapa","746","Rabi       ","202","Arhar/Tur","Pulses","44.0","Hectare","11.0","Tonnes","0.25","Tonnes/Hectare"
" 2018-19","Andhra Pradesh","28","Anantapur","502","Kharif     ","708","Onion","Vegetable","1407.0","Hectare","50908.0","Tonnes","36.18","Tonnes/Hectare"
" 2012-13","Bihar","10","Sheikhpura","219","Rabi       ","1005","Linseed","Oilseeds","240.0","Hectare","208.0","Tonnes","0.87","Tonnes/Hectare"
" 2018-19","Uttar Pradesh","9","Muzaffarnagar","172","Kharif     ","703","Sweet Potato","Vegetable","14.0","Hectare","161.0","Tonnes","11.5","Tonnes/Hectare"
" 2015-16","Rajasthan","8","Bharatpur","91","Rabi       ","107","Barley","Cereals","2212.0","Hectare","6621.0","Tonnes","2.99","Tonnes/Hectare"
" 2009-10","Rajasthan","8","Barmer","90","Rabi       ","1088","Other Oilseeds","Oilseeds","537.0","Hectare","161.0","Tonnes","0.3","Tonnes/Hectare"
" 2008-09","Bihar","10","Katihar","201","Winter     ","101","Rice","Cereals","62048.0","Hectare","75183.0","Tonnes","1.21","Tonnes/Hectare"
" 2017-18","Jharkhand","20","Hazaribagh","332","Rabi       ","1005","Linseed","Oilseeds","1869.0","Hectare","1308.0","Tonnes","0.7","Tonnes/Hectare"
" 2017-18","Nagaland","13","Tuensang","249","Kharif     ","1088","Other Oilseeds","Oilseeds","250.0","Hectare","150.0","Tonnes","0.6","Tonnes/Hectare"
" 2010-11","Uttar Pradesh","9","Mathura","167","Kharif     ","1401","Guar Seed","Fodder","63.0","Hectare","52.0","Tonnes","0.83","Tonnes/Hectare"
" 2012-13","West Bengal","19","Murshidabad","319","Rabi       ","701","Potato","Vegetable","13073.0","Hectare","364716.0","Tonnes","27.9","Tonnes/Hectare"
" 2011-12","Haryana","6","Bhiwani","59","Kharif     ","1001","Groundnut","Oilseeds","33.0","Hectare","8000.0","Tonnes","0.0","Tonnes/Hectare"
" 1998-99","Tamil Nadu","33","Virudhunagar","597","Whole Year ","502","Dry Chillies","Spices","3027.0","Hectare","2122.0","Tonnes","0.7","Tonnes/Hectare"
" 2014-15","Madhya Pradesh","23","Sagar","425","Rabi       ","1005","Linseed","Oilseeds","2000.0","Hectare","1000.0","Tonnes","0.5","Tonnes/Hectare"
" 2018-19","Odisha","21","Gajapati","353","Winter     ","1004","Rapeseed &Mustard","Oilseeds","42.0","Hectare","5.4","Tonnes","0.13","Tonnes/Hectare"
" 2017-18","Andhra Pradesh","28","Kadapa","746","Kharif     ","1302","Tobacco","Drugs And Narcotics","49.0","Hectare","68.0","Tonnes","1.39","Tonnes/Hectare"
" 2015-16","Rajasthan","8","Ajmer","86","Whole Year ","508","Garlic","Spices","4.0","Hectare","9.0","Tonnes","2.25","Tonnes/Hectare"
" 2006-07","Andhra Pradesh","28","West Godavari","523","Whole Year ","619","Cashewnut","Fruits","38718.0","Hectare","7136.0","Tonnes","0.18","Tonnes/Hectare"
" 2019-20","Bihar","10","Nalanda","209","Rabi       ","701","Potato","Vegetable","3121.0","Hectare","84052.0","Tonnes","26.93","Tonnes/Hectare"
" 2002-03","Assam","18","Dhemaji","284","Kharif     ","202","Arhar/Tur","Pulses","30.0","Hectare","23.0","Tonnes","0.77","Tonnes/Hectare"
" 2009-10","Madhya Pradesh","23","Hoshangabad","425","Rabi       ","102","Jowar","Cereals","17.0","Hectare","40.0","Tonnes","2.35","Tonnes/Hectare"
" 2001-02","Uttar Pradesh","9","Budaun","133","Kharif     ","102","Jowar","Cereals","2243.0","Hectare","1698.0","Tonnes","0.76","Tonnes/Hectare"
" 2002-03","Assam","18","Sivasagar","300","Whole Year ","401","Sugarcane","Sugar","109.0","Hectare","3970.0","Tonnes","36.42","Tonnes/Hectare"
" 2011-12","Madhya Pradesh","23","Hoshangabad","425","Kharif     ","203","Urad","Pulses","127.0","Hectare","27.0","Tonnes","0.21","Tonnes/Hectare"
" 2013-14","Punjab","3","Barnala","605","Kharif     ","204","Moong(Green Gram)","Pulses","300.0","Hectare","300.0","Tonnes","1.0","Tonnes/Hectare"
" 1997-98","Uttar Pradesh","9","Ambedkar Nagar","121","Rabi       ","205","Masoor","Pulses","114.0","Hectare","74.0","Tonnes","0.65","Tonnes/Hectare"
" 2007-08","Rajasthan","8","Bikaner","93","Rabi       ","106","Wheat","Cereals","51684.0","Hectare","72545.0","Tonnes","1.4","Tonnes/Hectare"
" 2004-05","Tamil Nadu","33","Virudhunagar","597","Whole Year ","502","Dry Chillies","Spices","3595.0","Hectare","2726.0","Tonnes","0.76","Tonnes/Hectare"
" 2016-17","Uttar Pradesh","9","Maharajganj","164","Kharif     ","1003","Sesamum","Oilseeds","67.0","Hectare","15.0","Tonnes","0.22","Tonnes/Hectare"
" 2002-03","Chhattisgarh","22","Jashpur","380","Rabi       ","107","Barley","Cereals","19.0","Hectare","14.0","Tonnes","0.74","Tonnes/Hectare"
" 1999-00","Maharashtra","27","Raigad","491","Kharif     ","1010","Niger Seed","Oilseeds","400.0","Hectare","100.0","Tonnes","0.25","Tonnes/Hectare"
" 2003-04","Haryana","6","Panipat","71","Kharif     ","1101","Cotton(Lint)","Fiber Crops","222.0","Hectare","0.0","Tonnes","0.0","Tonnes/Hectare"
" 2010-11","Madhya Pradesh","23","Panna","420","Rabi       ","1005","Linseed","Oilseeds","811.0","Hectare","349.0","Tonnes","0.43","Tonnes/Hectare"
" 2005-06","Odisha","21","Sundargarh","373","Winter     ","105","Ragi","Cereals","16.0","Hectare","9.4","Tonnes","0.59","Tonnes/Hectare"
" 2008-09","West Bengal","19","Murshidabad","319","Rabi       ","1005","Linseed","Oilseeds","196.0","Hectare","14.0","Tonnes","0.07","Tonnes/Hectare"
" 2015-16","Uttar Pradesh","9","Mau","168","Kharif     ","104","Maize","Cereals","235.0","Hectare","282.0","Tonnes","1.2","Tonnes/Hectare"
" 2007-08","Tamil Nadu","33","Perambalur","581","Whole Year ","1006","Coconut","Oilseeds","926.0","Hectare","4700000.0","Tonnes","5075.59","Tonnes/Hectare"
" 2008-09","Tripura","16","South Tripura","271","Kharif     ","203","Urad","Pulses","226.0","Hectare","165.0","Tonnes","0.73","Tonnes/Hectare"
" 2000-01","Karnataka","29","Chitradurga","533","Kharif     ","105","Ragi","Cereals","67022.0","Hectare","124206.0","Tonnes","1.85","Tonnes/Hectare"
" 2015-16","Tamil Nadu","33","Dharmapuri","571","Whole Year ","1006","Coconut","Oilseeds","8392.0","Hectare","97200000.0","Tonnes","11582.46","Tonnes/Hectare"
" 1999-00","West Bengal","19","Hooghly","312","Rabi       ","203","Urad","Pulses","106.0","Hectare","72.0","Tonnes","0.68","Tonnes/Hectare"
" 2006-07","Bihar","10","Araria","188","Kharif     ","204","Moong(Green Gram)","Pulses","1097.0","Hectare","553.0","Tonnes","0.5","Tonnes/Hectare"
" 2007-08","Sikkim","11","Mangan","226","Kharif     ","288","Other Kharif Pulses","Pulses","190.0","Hectare","140.0","Tonnes","0.74","Tonnes/Hectare"
" 1997-98","Uttar Pradesh","9","Hathras","163","Summer     ","101","Rice","Cereals","1.0","Hectare","2.0","Tonnes","2.0","Tonnes/Hectare"
" 2009-10","Gujarat","24","Vadodara","461","Summer     ","103","Bajra","Cereals","3900.0","Hectare","8200.0","Tonnes","2.1","Tonnes/Hectare"
" 2008-09","West Bengal","19","Bankura","305","Rabi       ","104","Maize","Cereals","5.0","Hectare","13.0","Tonnes","2.6","Tonnes/Hectare"
" 2011-12","Andhra Pradesh","28","Guntur","506","Rabi       ","1001","Groundnut","Oilseeds","4750.0","Hectare","13775.0","Tonnes","2.9","Tonnes/Hectare"
" 2013-14","Uttar Pradesh","9","Hamirpur","149","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","14083.0","Hectare","7073.0","Tonnes","0.5","Tonnes/Hectare"
" 1999-00","Uttar Pradesh","9","Kannauj","155","Kharif     ","103","Bajra","Cereals","4485.0","Hectare","5443.0","Tonnes","1.21","Tonnes/Hectare"
" 2009-10","Rajasthan","8","Ajmer","86","Rabi       ","1005","Linseed","Oilseeds","1.0","Hectare","1.0","Tonnes","1.0","Tonnes/Hectare"
" 2004-05","Arunachal Pradesh","12","West Kameng","242","Rabi       ","106","Wheat","Cereals","676.0","Hectare","764.0","Tonnes","1.13","Tonnes/Hectare"
" 2003-04","Karnataka","29","Koppal","543","Whole Year ","502","Dry Chillies","Spices","1574.0","Hectare","2575.0","Tonnes","1.64","Tonnes/Hectare"
" 2019-20","Chhattisgarh","22","Baloda Bazar","646","Kharif     ","1009","Soyabean","Oilseeds","213.0","Hectare","271.0","Tonnes","1.27","Tonnes/Hectare"
" 2010-11","Uttar Pradesh","9","Sitapur","183","Rabi       ","107","Barley","Cereals","1189.0","Hectare","2326.0","Tonnes","1.96","Tonnes/Hectare"
" 1997-98","West Bengal","19","Murshidabad","319","Whole Year ","1001","Groundnut","Oilseeds","70.0","Hectare","86.0","Tonnes","1.23","Tonnes/Hectare"
" 2016-17","Uttar Pradesh","9","Lucknow","162","Rabi       ","205","Masoor","Pulses","1635.0","Hectare","1167.0","Tonnes","0.71","Tonnes/Hectare"
" 2009-10","Karnataka","29","Belagavi","527","Rabi       ","502","Dry Chillies","Spices","819.0","Hectare","2639.0","Tonnes","3.22","Tonnes/Hectare"
" 2008-09","Karnataka","29","Davangere","535","Kharif     ","708","Onion","Vegetable","6120.0","Hectare","53123.0","Tonnes","8.68","Tonnes/Hectare"
" 2006-07","Punjab","3","Sangrur","43","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","2000.0","Hectare","3000.0","Tonnes","1.5","Tonnes/Hectare"
" 2007-08","Assam","18","Dima Hasao","299","Whole Year ","1006","Coconut","Oilseeds","63.0","Hectare","112000.0","Tonnes","1777.78","Tonnes/Hectare"
" 2004-05","Odisha","21","Jajapur","356","Summer     ","203","Urad","Pulses","8.0","Hectare","2.4","Tonnes","0.3","Tonnes/Hectare"
" 2007-08","Karnataka","29","Tumakuru","548","Rabi       ","201","Gram","Pulses","895.0","Hectare","511.0","Tonnes","0.57","Tonnes/Hectare"
" 2010-11","Odisha","21","Anugul","344","Summer     ","106","Wheat","Cereals","27.0","Hectare","52.9","Tonnes","1.96","Tonnes/Hectare"
" 2019-20","Uttar Pradesh","9","Sonbhadra","184","Rabi       ","201","Gram","Pulses","11171.0","Hectare","13451.0","Tonnes","1.2","Tonnes/Hectare"
" 2016-17","Jharkhand","20","Jamtara","333","Winter     ","701","Potato","Vegetable","485.0","Hectare","6152.0","Tonnes","12.68","Tonnes/Hectare"
" 2001-02","Madhya Pradesh","23","Rewa","424","Whole Year ","703","Sweet Potato","Vegetable","6.0","Hectare","32.0","Tonnes","5.33","Tonnes/Hectare"
" 1998-99","Rajasthan","8","Pali","111","Rabi       ","201","Gram","Pulses","83947.0","Hectare","24496.0","Tonnes","0.29","Tonnes/Hectare"
" 2004-05","Chhattisgarh","22","Bastar","374","Kharif     ","1101","Cotton(Lint)","Fiber Crops","3.0","Hectare","2.0","Tonnes","0.67","Tonnes/Hectare"
" 2007-08","Maharashtra","27","Thane","497","Rabi       ","288","Other  Rabi Pulses","Pulses","4500.0","Hectare","2200.0","Tonnes","0.49","Tonnes/Hectare"
" 2013-14","Bihar","10","Kishanganj","203","Kharif     ","105","Ragi","Cereals","98.0","Hectare","99.0","Tonnes","1.01","Tonnes/Hectare"
" 2006-07","Uttarakhand","5","Champawat","48","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","863.0","Hectare","224.0","Tonnes","0.26","Tonnes/Hectare"
" 2015-16","Uttar Pradesh","9","Hardoi","150","Kharif     ","502","Dry Chillies","Spices","120.0","Hectare","91.0","Tonnes","0.76","Tonnes/Hectare"
" 2013-14","Arunachal Pradesh","12","Upper Siang","240","Whole Year ","503","Ginger","Spices","230.0","Hectare","1518.0","Tonnes","6.6","Tonnes/Hectare"
" 2017-18","Uttar Pradesh","9","Fatehpur","142","Kharif     ","1401","Guar Seed","Fodder","28.0","Hectare","20.0","Tonnes","0.71","Tonnes/Hectare"
" 2019-20","Karnataka","29","Ballari","528","Whole Year ","504","Turmeric","Spices","1.0","Hectare","6.0","Tonnes","6.0","Tonnes/Hectare"
" 2020-21","Uttarakhand","5","Champawat","48","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","652.0","Hectare","377.0","Tonnes","0.58","Tonnes/Hectare"
" 2004-05","Bihar","10","Khagaria","202","Whole Year ","508","Garlic","Spices","30.0","Hectare","45.0","Tonnes","1.5","Tonnes/Hectare"
" 1998-99","Uttar Pradesh","9","Varanasi","187","Rabi       ","213","Peas & Beans (Pulses)","Pulses","1989.0","Hectare","2082.0","Tonnes","1.05","Tonnes/Hectare"
" 1998-99","Punjab","3","Jalandhar","34","Whole Year ","401","Sugarcane","Sugar","13000.0","Hectare","730000.0","Tonnes","56.15","Tonnes/Hectare"
" 2003-04","Odisha","21","Nuapada","368","Kharif     ","1001","Groundnut","Oilseeds","504.0","Hectare","419.4","Tonnes","0.83","Tonnes/Hectare"
" 2005-06","Assam","18","Hailakandi","289","Whole Year ","401","Sugarcane","Sugar","225.0","Hectare","8775.0","Tonnes","39.0","Tonnes/Hectare"
" 2010-11","Rajasthan","8","Chittorgarh","95","Kharif     ","1101","Cotton(Lint)","Fiber Crops","5948.0","Hectare","22002.96","Tonnes","3.7","Tonnes/Hectare"
" 2012-13","Punjab","3","Sangrur","43","Rabi       ","201","Gram","Pulses","100.0","Hectare","100.0","Tonnes","1.0","Tonnes/Hectare"
" 1999-00","Karnataka","29","Bengaluru Urban","525","Kharif     ","202","Arhar/Tur","Pulses","1417.0","Hectare","808.0","Tonnes","0.57","Tonnes/Hectare"
" 2007-08","Uttar Pradesh","9","Banda","128","Rabi       ","205","Masoor","Pulses","41145.0","Hectare","17034.0","Tonnes","0.41","Tonnes/Hectare"
" 2003-04","Chhattisgarh","22","Bilaspur","375","Kharif     ","101","Rice","Cereals","320204.0","Hectare","505972.0","Tonnes","1.58","Tonnes/Hectare"
" 2016-17","Maharashtra","27","Bhandara","471","Kharif     ","202","Arhar/Tur","Pulses","11824.0","Hectare","22988.0","Tonnes","1.94","Tonnes/Hectare"
" 2017-18","Uttar Pradesh","9","Chandauli","135","Kharif     ","1401","Guar Seed","Fodder","13.0","Hectare","9.0","Tonnes","0.69","Tonnes/Hectare"
" 2018-19","Gujarat","24","Ahmadabad","438","Kharif     ","202","Arhar/Tur","Pulses","1218.0","Hectare","1472.0","Tonnes","1.21","Tonnes/Hectare"
" 2016-17","Uttar Pradesh","9","Shamli","660","Kharif     ","101","Rice","Cereals","20441.0","Hectare","57623.0","Tonnes","2.82","Tonnes/Hectare"
" 2018-19","Tamil Nadu","33","Nagapattinam","579","Rabi       ","203","Urad","Pulses","40200.0","Hectare","11178.0","Tonnes","0.28","Tonnes/Hectare"
" 2007-08","Assam","18","Hailakandi","289","Rabi       ","213","Peas & Beans (Pulses)","Pulses","350.0","Hectare","200.0","Tonnes","0.57","Tonnes/Hectare"
" 2002-03","Tamil Nadu","33","Namakkal","580","Kharif     ","1003","Sesamum","Oilseeds","482.0","Hectare","294.0","Tonnes","0.61","Tonnes/Hectare"
" 2013-14","Andhra Pradesh","28","Visakhapatanam","520","Kharif     ","502","Dry Chillies","Spices","378.0","Hectare","1833.0","Tonnes","4.85","Tonnes/Hectare"
" 2017-18","Tamil Nadu","33","Pudukkottai","582","Kharif     ","207","Cowpea(Lobia)","Pulses","324.0","Hectare","233.0","Tonnes","0.72","Tonnes/Hectare"
" 2014-15","Kerala","32","Kannur","557","Whole Year ","503","Ginger","Spices","55.0","Hectare","248.0","Tonnes","4.51","Tonnes/Hectare"
" 2018-19","Bihar","10","Katihar","201","Kharif     ","108","Small Millets","Cereals","4.0","Hectare","3.0","Tonnes","0.75","Tonnes/Hectare"
" 1998-99","Madhya Pradesh","23","Hoshangabad","425","Kharif     ","101","Rice","Cereals","7800.0","Hectare","6300.0","Tonnes","0.81","Tonnes/Hectare"
" 2001-02","Maharashtra","27","Ahmednagar","466","Kharif     ","1002","Castor Seed","Oilseeds","200.0","Hectare","100.0","Tonnes","0.5","Tonnes/Hectare"
" 2001-02","Uttar Pradesh","9","Sant Ravidas Nagar","178","Rabi       ","1005","Linseed","Oilseeds","6.0","Hectare","2.0","Tonnes","0.33","Tonnes/Hectare"
" 2013-14","Madhya Pradesh","23","Jabalpur","411","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","3680.0","Hectare","3235.0","Tonnes","0.88","Tonnes/Hectare"
" 2016-17","Tamil Nadu","33","Vellore","595","Rabi       ","204","Moong(Green Gram)","Pulses","1259.0","Hectare","301.0","Tonnes","0.24","Tonnes/Hectare"
" 2000-01","Gujarat","24","Surat","459","Kharif     ","104","Maize","Cereals","800.0","Hectare","600.0","Tonnes","0.75","Tonnes/Hectare"
" 2002-03","Uttar Pradesh","9","Kanpur Nagar","157","Kharif     ","108","Small Millets","Cereals","5.0","Hectare","3.0","Tonnes","0.6","Tonnes/Hectare"
" 2008-09","Rajasthan","8","Sikar","114","Kharif     ","288","Other Kharif Pulses","Pulses","54161.0","Hectare","26688.0","Tonnes","0.49","Tonnes/Hectare"
" 1997-98","Gujarat","24","Mahesana","451","Whole Year ","701","Potato","Vegetable","4600.0","Hectare","86800.0","Tonnes","18.87","Tonnes/Hectare"
" 2000-01","Rajasthan","8","Ganganagar","100","Kharif     ","204","Moong(Green Gram)","Pulses","3765.0","Hectare","1500.0","Tonnes","0.4","Tonnes/Hectare"
" 1999-00","Bihar","10","Kishanganj","203","Kharif     ","1007","Sunflower","Oilseeds","146.0","Hectare","135.0","Tonnes","0.92","Tonnes/Hectare"
" 2010-11","Jharkhand","20","Chatra","323","Rabi       ","106","Wheat","Cereals","3735.0","Hectare","3152.0","Tonnes","0.84","Tonnes/Hectare"
" 2005-06","Chhattisgarh","22","Janjgir-Champa","379","Rabi       ","213","Peas & Beans (Pulses)","Pulses","326.0","Hectare","128.0","Tonnes","0.39","Tonnes/Hectare"
" 2003-04","Rajasthan","8","Baran","89","Kharif     ","202","Arhar/Tur","Pulses","33.0","Hectare","15.0","Tonnes","0.45","Tonnes/Hectare"
" 2015-16","Karnataka","29","Tumakuru","548","Summer     ","103","Bajra","Cereals","1.0","Hectare","1.0","Tonnes","1.0","Tonnes/Hectare"
" 2013-14","Tamil Nadu","33","Virudhunagar","597","Kharif     ","1003","Sesamum","Oilseeds","625.0","Hectare","114.0","Tonnes","0.18","Tonnes/Hectare"
" 2000-01","Himachal Pradesh","2","Kangra","18","Kharif     ","213","Peas & Beans (Pulses)","Pulses","31.0","Hectare","31.0","Tonnes","1.0","Tonnes/Hectare"
" 1998-99","Karnataka","29","Raichur","546","Kharif     ","104","Maize","Cereals","216.0","Hectare","741.0","Tonnes","3.43","Tonnes/Hectare"
" 2001-02","Rajasthan","8","Tonk","116","Kharif     ","104","Maize","Cereals","17297.0","Hectare","18410.0","Tonnes","1.06","Tonnes/Hectare"
" 2013-14","Maharashtra","27","Yavatmal","500","Kharif     ","101","Rice","Cereals","100.0","Hectare","6000.0","Tonnes","0.0","Tonnes/Hectare"
" 2015-16","Odisha","21","Kalahandi","358","Summer     ","203","Urad","Pulses","65.0","Hectare","36.5","Tonnes","0.56","Tonnes/Hectare"
" 2004-05","Andhra Pradesh","28","Kadapa","746","Rabi       ","288","Other  Rabi Pulses","Pulses","25.0","Hectare","5.0","Tonnes","0.2","Tonnes/Hectare"
" 2018-19","Maharashtra","27","Bhandara","471","Whole Year ","401","Sugarcane","Sugar","4208.0","Hectare","282104.0","Tonnes","67.04","Tonnes/Hectare"
" 2015-16","Karnataka","29","Hassan","539","Whole Year ","506","Cardamom","Spices","7112.0","Hectare","718.0","Tonnes","0.1","Tonnes/Hectare"
" 2002-03","Odisha","21","Rayagada","370","Kharif     ","206","Horse-Gram","Pulses","1613.0","Hectare","327.4","Tonnes","0.2","Tonnes/Hectare"
" 2012-13","Karnataka","29","Bengaluru Urban","525","Whole Year ","401","Sugarcane","Sugar","12.0","Hectare","1003.0","Tonnes","83.58","Tonnes/Hectare"
" 2019-20","Uttar Pradesh","9","Varanasi","187","Kharif     ","103","Bajra","Cereals","5544.0","Hectare","8111.0","Tonnes","1.46","Tonnes/Hectare"
" 2014-15","Madhya Pradesh","23","Datia","401","Kharif     ","204","Moong(Green Gram)","Pulses","3000.0","Hectare","2000.0","Tonnes","0.67","Tonnes/Hectare"
" 2015-16","Uttarakhand","5","Nainital","51","Whole Year ","508","Garlic","Spices","222.0","Hectare","335.0","Tonnes","1.51","Tonnes/Hectare"
" 2006-07","West Bengal","19","Murshidabad","319","Summer     ","204","Moong(Green Gram)","Pulses","542.0","Hectare","203.0","Tonnes","0.37","Tonnes/Hectare"
" 2012-13","Karnataka","29","Shivamogga","547","Whole Year ","619","Cashewnut","Fruits","1394.0","Hectare","1122.0","Tonnes","0.8","Tonnes/Hectare"
" 1999-00","Odisha","21","Malkangiri","364","Whole Year ","1302","Tobacco","Drugs And Narcotics","1540.0","Hectare","830.0","Tonnes","0.54","Tonnes/Hectare"
" 2008-09","Nagaland","13","Dimapur","244","Kharif     ","401","Sugarcane","Sugar","1020.0","Hectare","43960.0","Tonnes","43.1","Tonnes/Hectare"
" 2017-18","Chhattisgarh","22","Raipur","387","Whole Year ","703","Sweet Potato","Vegetable","2.0","Hectare","12.0","Tonnes","6.0","Tonnes/Hectare"
" 2011-12","Assam","18","Marigaon","296","Rabi       ","201","Gram","Pulses","82.0","Hectare","34.0","Tonnes","0.41","Tonnes/Hectare"
" 2003-04","Bihar","10","Sitamarhi","221","Whole Year ","606","Banana","Fruits","204.0","Hectare","2509.0","Tonnes","12.3","Tonnes/Hectare"
" 2005-06","Nagaland","13","Dimapur","244","Kharif     ","202","Arhar/Tur","Pulses","3060.0","Hectare","3120.0","Tonnes","1.02","Tonnes/Hectare"
" 2017-18","Manipur","14","Churachandpur","254","Whole Year ","401","Sugarcane","Sugar","280.0","Hectare","13070.0","Tonnes","46.68","Tonnes/Hectare"
" 2000-01","Madhya Pradesh","23","Hoshangabad","425","Kharif     ","1001","Groundnut","Oilseeds","43.0","Hectare","41.0","Tonnes","0.95","Tonnes/Hectare"
" 2005-06","Karnataka","29","Kalaburagi","538","Whole Year ","508","Garlic","Spices","26.0","Hectare","78.0","Tonnes","3.0","Tonnes/Hectare"
" 1998-99","Karnataka","29","Ballari","528","Kharif     ","202","Arhar/Tur","Pulses","7563.0","Hectare","2234.0","Tonnes","0.3","Tonnes/Hectare"
" 2017-18","Telangana","36","Vikarabad","698","Kharif     ","1001","Groundnut","Oilseeds","55.0","Hectare","120.0","Tonnes","2.18","Tonnes/Hectare"
" 2010-11","Uttar Pradesh","9","Agra","118","Kharif     ","104","Maize","Cereals","63.0","Hectare","135.0","Tonnes","2.14","Tonnes/Hectare"
" 1998-99","Maharashtra","27","Amravati","468","Kharif     ","401","Sugarcane","Sugar","2000.0","Hectare","169900.0","Tonnes","84.95","Tonnes/Hectare"
" 2016-17","Tripura","16","Sepahijala","653","Rabi       ","213","Peas & Beans (Pulses)","Pulses","477.0","Hectare","404.0","Tonnes","0.85","Tonnes/Hectare"
